Number,Station name ,اسم المحطه ,Station location,,lon,lat,Station type ,نوع المحطه ,Train type,نوع القطار,Line,رقم الخط,country ,الدولة,governorate,المحافظه,city,المدينه 
1,Adly Mansour,عدلي منصور,"https://maps.google.com/?q=29.9231,31.27890",,31.4215,30.1441,Interchange Hub,محطة تبادلية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,El-Salam City,مدينة السلام
2,El-Obour,العبور,"https://maps.google.com/?q=29.9231,31.27891",,31.5312,30.1589,Normal,عادية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Qalyubia,القاهرة,El-Obour City,مدينة العبور
3,El-Mustakbal,المستقبل,"https://maps.google.com/?q=29.9231,31.27892",,31.5941,30.1622,Normal,عادية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,El-Mustakbal City,مدينة المستقبل
4,El-Shorouk,الشروق,"https://maps.google.com/?q=29.9231,31.27893",,31.6425,30.1648,Normal,عادية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,El-Shorouk,مدينة الشروق
5,Heliopolis El-Gedida,هليوبوليس الجديدة,"https://maps.google.com/?q=29.9231,31.27894",,31.6911,30.1671,Normal,عادية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,New Heliopolis,هليوبوليس الجديده 
6,Badr,بدر,"https://maps.google.com/?q=29.9231,31.27895",,31.7342,30.1384,Operational Junction,وصلة تشغيل,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,Badr City,مدينة بدر
7,El-Rubeiki,الروبيكي,"https://maps.google.com/?q=29.9231,31.27896",,31.7915,30.1421,Normal,عادية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,Badr City,مدينة بدر
8,Industrial Zone,المنطقة الصناعية,"https://maps.google.com/?q=29.9231,31.27897",,31.8412,30.1495,Normal,عادية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,Badr City,مدينة بدر
9,Knowledge City,مدينة المعرفة,"https://maps.google.com/?q=29.9231,31.27898",,31.9084,30.1162,Normal,عادية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,New Capital,العاصمه الإدارية الجديدة 
10,Capital Airport,مطار العاصمة,"https://maps.google.com/?q=29.9231,31.27899",,31.9421,30.0894,Normal,عادية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,New Capital,العاصمه الإدارية الجديدة 
11,Arts and Culture City,الفنون والثقافة,"https://maps.google.com/?q=29.9353,31.27060",,31.7104,29.9881,Interchange,محطة تبادلية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,New Capital,العاصمه الإدارية الجديدة 
12,New Capital 1,العاصمة الإدارية ١,"https://maps.google.com/?q=29.9353,31.27061",,31.7511,29.9212,Terminal Station,محطة نهائية,LRT,القطار الكهربائي الخفيف ,Line 1,الخط الاول,Egypt,مصر,Cairo,القاهرة,New Capital,العاصمه الإدارية الجديدة 
1,Stadium,الاستاد,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.9602,31.25881",,31.3254,30.0621,Interchange Hub,محطة تبادلية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,Nasr City,مدينة نصر
2,Hisham Barakat,هشام بركات,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.9602,31.25882",,31.3391,30.0652,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,Nasr City,مدينة نصر
3,Nuri Khattab,نوري خطاب,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.9602,31.25883",,31.3512,30.0681,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,Nasr City,مدينة نصر
4,The Sixth District,الحي السادس,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.9602,31.25884",,31.3645,30.0612,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,Nasr City,مدينة نصر
5,Free Zone,المنطقة الحرة,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.9602,31.25885",,31.3781,30.0574,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,Nasr City,مدينة نصر
6,The Marshal Tantawy,المشير طنطاوي,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.9602,31.25886",,31.4021,30.0521,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,Nasr City,مدينة نصر
7,Cairo Festival City,كايرو فيستفال سيتي,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.9602,31.25887",,31.4284,30.0315,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,Fifth Settlement,التجمع الخامس 
8,El Choueifat,الشويفات,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.9602,31.25888",,31.4412,30.0211,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,Fifth Settlement,التجمع الخامس
9,Air Hospital,المستشفى الجوي,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.9602,31.25889",,31.4589,30.0154,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,Fifth Settlement,التجمع الخامس
10,Narges District,حي النرجس,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.8804,31.30320",,31.4721,30.0091,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,Fifth Settlement,التجمع الخامس
11,The Mohamed Naguib,محمد نجيب,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.8804,31.30321",,31.4895,30.0062,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,Fifth Settlement,التجمع الخامس
12,American University,الجامعة الأمريكية,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.8804,31.30322",,31.5114,30.0075,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,Fifth Settlement,التجمع الخامس
13,Emaar,إعمار,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.8804,31.30323",,31.5342,30.0121,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,Fifth Settlement,التجمع الخامس
14,Nafoura Square,ميدان النافورة,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.8804,31.30324",,31.5611,30.0165,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,Fifth Settlement,التجمع الخامس
15,Al Barwa,الباروة,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.8804,31.30325",,31.5912,30.0191,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,Fifth Settlement,التجمع الخامس
16,The Middle Ring Road,الطريق الدائري الأوسطي,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.8804,31.30326",,31.6315,30.0142,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,Fifth Settlement,التجمع الخامس
17,Regional Ring Road,الطريق الدائري الإقليمي,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.8804,31.30327",,31.6841,30.0012,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,New Cairo City,القاهرة الجديدة
18,Hotel District,فندق المونوريل,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.8804,31.30328",,31.7215,29.9815,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,New Capital,العاصمه الإدارية الجديدة 
19,Government District,الحي الحكومي,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.8804,31.30329",,31.7451,29.9642,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,New Capital,العاصمه الإدارية الجديدة 
20,Administrative District,الحي الإداري,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.8412,31.32410",,31.7612,29.9411,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,New Capital,العاصمه الإدارية الجديدة 
21,Cultural District,الحي الثقافي,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.8412,31.32411",,31.7891,29.9152,Normal,عادية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,New Capital,العاصمه الإدارية الجديدة 
22,Arts and Culture City,مدينة الفنون والثقافة,"https://www.google.com/search?q=https://maps.google.com/%3Fq%3D29.8412,31.32412",,31.7104,29.9881,Interchange Hub,محطة تبادلية,Monorail,المونوريل,East Nile Line,خط شرق النيل,Egypt,مصر,Cairo,القاهرة,New Capital,العاصمه الإدارية الجديدة 